key,author_key
/works/OL209286W,/authors/OL2417731A
/works/OL1976081W,/authors/OL237525A
/works/OL1976081W,/authors/OL240492A
/works/OL1976081W,/authors/OL5104738A
/works/OL53020W,/authors/OL34330A
/works/OL3004974W,/authors/OL461221A
/works/OL3004974W,/authors/OL957488A
/works/OL3004974W,/authors/OL3082993A
/works/OL3004974W,/authors/OL5463627A
/works/OL3004974W,/authors/OL2639384A
/works/OL3004974W,/authors/OL8041999A
/works/OL3004974W,/authors/OL2639385A
/works/OL3004974W,/authors/OL2640691A
/works/OL3004974W,/authors/OL7573527A
/works/OL3004974W,/authors/OL3357164A
/works/OL3004974W,/authors/OL887885A
/works/OL3004974W,/authors/OL3357534A
/works/OL3004974W,/authors/OL2639594A
/works/OL3004974W,/authors/OL8042000A
/works/OL3004974W,/authors/OL8042001A
/works/OL2000340W,/authors/OL240902A
/works/OL2000340W,/authors/OL545689A
/works/OL2000340W,/authors/OL2710683A
/works/OL2000340W,/authors/OL3564282A
/works/OL2000340W,/authors/OL7945798A
/works/OL2000340W,/authors/OL538367A
/works/OL2000340W,/authors/OL2529062A
/works/OL2000340W,/authors/OL7941622A
/works/OL2000340W,/authors/OL8055398A
/works/OL1965529W,/authors/OL2623606A
/works/OL16479869W,/authors/OL1481979A
/works/OL16479869W,/authors/OL2749349A
/works/OL16479869W,/authors/OL2906392A
/works/OL16479869W,/authors/OL3445179A
/works/OL16479869W,/authors/OL2749350A
/works/OL16479869W,/authors/OL6952109A
/works/OL16479869W,/authors/OL8042239A
/works/OL16479869W,/authors/OL8042240A
/works/OL4781729W,/authors/OL1004897A
/works/OL4781729W,/authors/OL2728687A
/works/OL4781729W,/authors/OL6208280A
/works/OL4781729W,/authors/OL7958791A
/works/OL2767765W,/authors/OL407180A
/works/OL1796950W,/authors/OL2141525A
/works/OL1796950W,/authors/OL6892631A
/works/OL1796950W,/authors/OL7644547A
/works/OL3368838W,/authors/OL548329A
/works/OL3368838W,/authors/OL404197A
/works/OL3368838W,/authors/OL3297094A
/works/OL3368838W,/authors/OL5403060A
/works/OL5829125W,/authors/OL1428734A
/works/OL5967916W,/authors/OL1481979A
/works/OL5967916W,/authors/OL2906392A
/works/OL5967916W,/authors/OL2749349A
/works/OL5967916W,/authors/OL2749350A
/works/OL5967916W,/authors/OL7172377A
/works/OL5967916W,/authors/OL6952109A
/works/OL5967916W,/authors/OL8042240A
/works/OL5967916W,/authors/OL8042239A
/works/OL5967916W,/authors/OL7807379A
/works/OL5967916W,/authors/OL8095880A
/works/OL21430808W,/authors/OL240902A
/works/OL21430808W,/authors/OL2651734A
/works/OL21430808W,/authors/OL3274932A
/works/OL8259342W,/authors/OL2748203A
/works/OL8259342W,/authors/OL1779382A
/works/OL8259342W,/authors/OL5155390A
/works/OL8259342W,/authors/OL2656855A
/works/OL8259342W,/authors/OL2749090A
/works/OL8259342W,/authors/OL2751594A
/works/OL12889997W,/authors/OL1271166A
/works/OL8098032W,/authors/OL2696686A
/works/OL8098032W,/authors/OL6290437A
/works/OL882895W,/authors/OL77727A
/works/OL3368666W,/authors/OL548288A
/works/OL3368666W,/authors/OL407180A
/works/OL9182315W,/authors/OL3251779A
/works/OL9182315W,/authors/OL3251780A
/works/OL9182315W,/authors/OL3251781A
/works/OL1647552W,/authors/OL183914A
/works/OL1647552W,/authors/OL2624970A
/works/OL21393588W,/authors/OL6208280A
/works/OL2277996W,/authors/OL298347A
/works/OL2277996W,/authors/OL3101778A
/works/OL2277996W,/authors/OL3216310A
/works/OL20342841W,/authors/OL7845747A
/works/OL21282030W,/authors/OL2828739A
/works/OL1970547W,/authors/OL236763A
/works/OL4828197W,/authors/OL1020096A
/works/OL4828197W,/authors/OL3536884A
/works/OL12305728W,/authors/OL5389441A
/works/OL25190317W,/authors/OL8281407A
/works/OL25190317W,/authors/OL8281408A
/works/OL4529166W,/authors/OL910669A
/works/OL4529166W,/authors/OL4751304A
/works/OL4529166W,/authors/OL4751724A
/works/OL1927247W,/authors/OL231069A
/works/OL1927247W,/authors/OL3251684A
/works/OL1927247W,/authors/OL3251685A
/works/OL20326545W,/authors/OL2804627A
/works/OL20326545W,/authors/OL7704885A
/works/OL3018498W,/authors/OL464494A
/works/OL3018498W,/authors/OL2879379A
/works/OL16975128W,/authors/OL3502158A
/works/OL2668560W,/authors/OL389290A
/works/OL16617591W,/authors/OL1429431A
